City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Zakharovo,RU,54.366,39.2792,33.69,100,100,9.51,light snow
149,Somerset,US,40.5668,-74.5496,53.46,69,0,1.99,clear sky
150,Duns,GB,55.777,-2.3457,40.96,94,19,17.47,few clouds
151,Gewane,ET,10.1664,40.6453,72.01,70,6,7.72,clear sky
152,Velsk,RU,61.0701,42.0983,8.91,96,99,6.2,light snow
153,Rabo De Peixe,PT,37.8,-25.5833,56.71,82,20,26.46,light rain
154,Hofn,IS,64.2539,-15.2082,17.62,61,0,14.18,clear sky
155,Novosheshminsk,RU,55.0651,51.2338,2.17,99,90,4.59,overcast clouds
156,Bayan,CN,46.0833,127.4,3.85,92,25,9.08,scattered clouds
157,Mahanoro,MG,-19.9,48.8,72.79,84,16,3.22,few clouds
158,Aleysk,RU,52.4926,82.7822,20.28,96,100,5.53,light snow
159,Vicuna,CL,-30.0319,-70.7081,73.78,62,12,4.97,few clouds
160,Asyut,EG,27.181,31.1837,53.78,75,0,6.64,clear sky
161,Ungheni,MD,47.2042,27.7958,40.28,89,0,8.05,clear sky
162,Adrar,MR,20.5022,-10.0711,65.7,37,99,20.42,overcast clouds
163,Bandipur,NP,27.9333,84.4167,42.71,73,30,2.44,scattered clouds
164,Husavik,IS,66.0449,-17.3389,19.15,69,100,15.37,overcast clouds
165,Ureki,GE,41.9956,41.7786,42.76,59,2,4.9,clear sky
166,Emba,KZ,48.8264,58.1442,20.14,97,100,7.23,overcast clouds
167,Cockburn Town,TC,21.4612,-71.1419,76.96,73,40,13.8,scattered clouds
168,Qaanaaq,GL,77.484,-69.3632,-23.26,64,27,7.74,scattered clouds
169,Taoudenni,ML,22.6783,-3.9836,68.92,25,100,10.33,overcast clouds
170,Salalah,OM,17.0151,54.0924,75.29,35,0,13.8,clear sky
171,Itaituba,BR,-4.2761,-55.9836,73.6,98,90,0.72,overcast clouds
172,Boffa,GN,10.1667,-14.0333,79.5,28,100,5.5,overcast clouds
173,Nyrob,RU,60.733,56.7202,-14.64,100,98,3.09,overcast clouds
